hexa8
               1                1                5                8                4                2                6                7                3                1 
               2                2                6                7                3                9               11               12               10                1 
               3                9               11               12               10               13               15               16               14                1 
               4               13               15               16               14               17               19               20               18                1 
               5               17               19               20               18               21               23               24               22                1 
               6               21               23               24               22               25               27               28               26                1 
               7               25               27               28               26               29               31               32               30                1 
               8               29               31               32               30               33               35               36               34                1 
               9               33               35               36               34               37               39               40               38                1 
              10               37               39               40               38               41               43               44               42                1 
end hexa8
return
